"dbpedia","city","temp","population","density","website","country_name","image","flag","currency"
"http://dbpedia.org/resource/Casablanca","Casablanca",18,4270750,,"http://www.casablancacity.ma","Morocco","http://commons.wikimedia.org/wiki/Special:FilePath/Subditos.jpg?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Morocco.svg?width=300","http://dbpedia.org/resource/Moroccan_dirham"
"http://dbpedia.org/resource/Casablanca","Casablanca",18,4270750,,"http://www.casablanca.ma/","Morocco","http://commons.wikimedia.org/wiki/Special:FilePath/Subditos.jpg?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Morocco.svg?width=300","http://dbpedia.org/resource/Moroccan_dirham"
"http://dbpedia.org/resource/Apodaca","Apodaca",21.8,4150000,,"http://www.apodaca.gob.mx","Mexico","http://commons.wikimedia.org/wiki/Special:FilePath/Apodaca_location.png?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Mexico.svg?width=300","http://dbpedia.org/resource/Mexican_peso"
"http://dbpedia.org/resource/Montreal","Montreal",7.4,4127100,4517.6,"http://www.ville.montreal.qc.ca","Canada","http://commons.wikimedia.org/wiki/Special:FilePath/Montreal_Montage_July_7_2014.jpg?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Canada_(Pantone).svg?width=300","http://dbpedia.org/resource/Canadian_dollar"
"http://dbpedia.org/resource/Fortaleza","Fortaleza",26.6,4019213,8286.65,"http://www.fortaleza.ce.gov.br","Brazil","http://commons.wikimedia.org/wiki/Special:FilePath/Montage_of_Fortaleza.png?width=300","http://en.wikipedia.org/wiki/Special:FilePath/Flag_of_Brazil.svg?width=300","http://dbpedia.org/resource/Brazilian_real"
"http://dbpedia.org/resource/Chittagong","Chittagong",25.9,4009423,,"http://www.ccc.org.bd/","Bangladesh","http://commons.wikimedia.org/wiki/Special:FilePath/Chittagong_montage_42.jpg?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Bangladesh.svg?width=300","http://dbpedia.org/resource/Bangladeshi_taka"
"http://dbpedia.org/resource/Baku","Baku",15.1,4000000,996.38,"http://www.baku-ih.gov.az","Azerbaijan","http://commons.wikimedia.org/wiki/Special:FilePath/Baku_montage3.jpg?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Azerbaijan.svg?width=300","http://dbpedia.org/resource/Azerbaijani_manat"
"http://dbpedia.org/resource/Salvador,_Bahia","Salvador, Bahia",25.3,3919864,4187.0,"http://www.salvador.ba.gov.br/","Brazil","http://commons.wikimedia.org/wiki/Special:FilePath/Montage_Salvador_de_Bahía.jpg?width=300","http://en.wikipedia.org/wiki/Special:FilePath/Flag_of_Brazil.svg?width=300","http://dbpedia.org/resource/Brazilian_real"
"http://dbpedia.org/resource/Kunming","Kunming",14.9,3891400,,"http://www.km.gov.cn/","China","http://commons.wikimedia.org/wiki/Special:FilePath/Kunming_montage.png?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_the_People%27s_Republic_of_China.svg?width=300","http://dbpedia.org/resource/Renminbi"
"http://dbpedia.org/resource/Athens","Athens",19.1,3753783,,"http://www.cityofathens.gr/","Greece","http://commons.wikimedia.org/wiki/Special:FilePath/Athens_Montage_2.jpg?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Greece.svg?width=300","http://dbpedia.org/resource/Euro"
"http://dbpedia.org/resource/Recife","Recife",25.5,3743854,7157.52,"http://www.recife.pe.gov.br","Brazil","http://commons.wikimedia.org/wiki/Special:FilePath/Montagem_Recife_(2).jpg?width=300","http://en.wikipedia.org/wiki/Special:FilePath/Flag_of_Brazil.svg?width=300","http://dbpedia.org/resource/Brazilian_real"
"http://dbpedia.org/resource/Medellín","Medellín",22.5,3731447,,"http://www.medellin.gov.co/irj/portal/medellinIngles","Colombia","http://commons.wikimedia.org/wiki/Special:FilePath/Panoramica_Centro_De_Medellin.jpg?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Colombia.svg?width=300","http://dbpedia.org/resource/Colombian_peso"
"http://dbpedia.org/resource/Cologne","Cologne",10.3,3573500,,"http://www.stadt-koeln.de","Germany","http://commons.wikimedia.org/wiki/Special:FilePath/Cologne_montage.png?width=300","http://en.wikipedia.org/wiki/Special:FilePath/Flag_of_Germany.svg?width=300","http://dbpedia.org/resource/Euro"
"http://dbpedia.org/resource/Nuremberg","Nuremberg",9.3,3500000,,"http://www.nuernberg.de/internet/portal_e/index.html","Germany","http://commons.wikimedia.org/wiki/Special:FilePath/Нюрнберг.Бург_вид_с_Рехенберга_2.jpg?width=300","http://en.wikipedia.org/wiki/Special:FilePath/Flag_of_Germany.svg?width=300","http://dbpedia.org/resource/Euro"
"http://dbpedia.org/resource/Ningbo","Ningbo",16.5,3491597,,"http://www.ningbo.gov.cn/","China","http://commons.wikimedia.org/wiki/Special:FilePath/Ningbo_montage.jpg?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_the_People%27s_Republic_of_China.svg?width=300","http://dbpedia.org/resource/Renminbi"
"http://dbpedia.org/resource/Oran","Oran",17.9,3454078,,,"Algeria","http://commons.wikimedia.org/wiki/Special:FilePath/Armoirie_oran.png?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Algeria.svg?width=300","http://dbpedia.org/resource/Algerian_dinar"
"http://dbpedia.org/resource/Curitiba","Curitiba",16.8,3400000,4062.95,"http://www.curitiba.pr.gov.br/","Brazil","http://commons.wikimedia.org/wiki/Special:FilePath/Montage_de_Curitiba.jpg?width=300","http://en.wikipedia.org/wiki/Special:FilePath/Flag_of_Brazil.svg?width=300","http://dbpedia.org/resource/Brazilian_real"
"http://dbpedia.org/resource/Cali","Cali",23.9,3400000,,"http://www.cali.gov.co/","Colombia","http://commons.wikimedia.org/wiki/Special:FilePath/Cali_.jpg?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Colombia.svg?width=300","http://dbpedia.org/resource/Colombian_peso"
"http://dbpedia.org/resource/Budapest","Budapest",11.3,3303786,3348.0,"http://budapest.hu/sites/english/Lapok/default.aspx","Hungary","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Budapest_(2011-).svg?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Hungary.svg?width=300","http://dbpedia.org/resource/Hungarian_forint"
"http://dbpedia.org/resource/Budapest","Budapest",11.3,3303786,3348.0,"http://en.budapestinfo.hu/","Hungary","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Budapest_(2011-).svg?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Hungary.svg?width=300","http://dbpedia.org/resource/Hungarian_forint"
"http://dbpedia.org/resource/Indore","Indore",25,3254238,5116.4,"http://www.indore.nic.in","India","http://commons.wikimedia.org/wiki/Special:FilePath/IndoreMontage.jpg?width=300","http://en.wikipedia.org/wiki/Special:FilePath/Flag_of_India.svg?width=300","http://dbpedia.org/resource/Indian_rupee"
"http://dbpedia.org/resource/Tangshan","Tangshan",11.5,3187171,,"http://tangshan.gov.cn","China","http://commons.wikimedia.org/wiki/Special:FilePath/Font_at_Tangshan,_Hebei_-_Mobile_World.jpg?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_the_People%27s_Republic_of_China.svg?width=300","http://dbpedia.org/resource/Renminbi"
